22	23
42	4
36	7
46	3
26	21
21	25
27	20
40	5
20	24
48	2
23	22
38	6
11	36
30	12
34	10
33	8
20	28
31	13
10	37
17	33
17	32
10	36
31	12
20	29
14	34
35	10
33	9
16	33
30	13
7	38
38	7
48	3
23	23
44	3
20	25
27	21
21	24
29	13
26	20
36	6
22	22
42	5
30	14
29	18
28	19
32	13
35	8
30	18
22	25
25	21
29	14
21	23
19	31
9	37
44	4
48	4
23	24
19	27
19	26
41	6
39	5
19	30
29	15
18	31
46	4
22	24
35	9
31	14
32	12
29	19
30	15
29	20
19	29
32	11
13	35
33	10
30	16
19	25
24	22
41	5
39	6
47	3
37	7
29	16
43	4
18	32
25	23
25	22
43	5
37	6
29	17
49	3
39	7
35	7
41	4
24	23
45	3
30	17
32	9
28	20
33	11
32	10
19	28
45	4
3	39
20	26
49	4
17	31
31	11
34	8
36	9
36	8
30	11
34	9
31	10
26	22
47	4
21	26
40	6
20	27
38	5
