19	5
10	17
28	7
21	4
29	12
15	5
23	18
28	13
23	5
22	19
26	6
6	3
2	4
27	16
19	17
14	19
15	18
26	17
8	3
26	16
18	17
4	3
15	19
14	18
17	5
11	17
23	4
22	18
12	6
28	12
23	19
29	13
21	5
19	4
2	2
17	19
24	16
29	9
25	17
16	18
8	4
20	18
25	5
11	4
29	14
13	17
28	15
12	16
16	6
13	5
21	19
21	18
12	17
27	5
28	14
13	16
18	6
11	5
14	6
25	4
20	19
16	19
25	16
29	8
24	17
2	3
17	18
6	4
21	17
30	9
12	18
25	15
3	4
13	19
22	5
27	6
20	4
29	7
18	5
24	18
17	17
14	5
24	19
20	5
27	7
25	18
16	5
13	6
22	4
16	17
20	17
27	13
13	18
30	8
9	3
12	19
17	6
12	5
28	11
18	18
19	19
24	5
29	10
14	17
10	4
26	15
5	4
11	18
22	17
9	4
28	9
27	14
30	10
10	18
30	11
28	8
27	15
3	3
23	17
11	19
26	14
10	5
19	18
24	4
29	11
15	6
28	10
18	19
12	4
15	17
26	5
